loc,lastmodified,added_date
https://taubetobi.itch.io/blockiverse/devlog/532023/grass-model-improved,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/532425/drawing-triangles,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/532899/filled-triangles,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/535044/creating-grass-texture,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/535490/new-grass-system-in-game,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/535889/evolution-simulation,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/538230/video-devlog-may-2023-improvements-and-plans,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/538783/mass-extinctions,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/539208/menu-and-mesh-creation,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/539789/first-mutation,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/540320/aggressive-species-and-debug-menu,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/541605/storing-and-loading-of-living-forms,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/542401/video-for-the-next-germangamedevshowcase,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/542544/deletion-of-the-model-generator,,2026-09-04
https://outlander-co.itch.io/nhiol/devlog/543401/match-in-games-2023-and-first-public-build-,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/543457/just-grass-and-animals,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/544879/landscape-tester-for-free,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/545740/first-bone-in-model-tester,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/546772/new-living-form-in-game,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/548155/better-performance-for-static-objects,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/548645/snow-shader,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/549050/drawing-of-more-complex-forms,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/549554/shading-and-uv-handling,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/550019/shading-and-vertex-color,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/551364/video-devlog-june-2023-evolution-prototypes,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/552337/back-faces-and-uv-map,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/552766/renderer-moved-to-game,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/553330/missing-pixels,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/553694/fixed-missing-pixels,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/555159/dna-for-living-forms,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/555583/dna-selector-is-back,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/556276/work-on-dna-selector,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/556693/display-of-plants-and-navigation-bar,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/558295/bug-fixes-and-random-color,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/559219/game-and-model-tester-connected,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/559567/filter-for-living-forms,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/559951/living-form-preview,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/560386/design-error,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/562245/compile-errors-done,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/562704/game-test-done,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/563157/living-forms-from-different-homes,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/563588/bug-fixes,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/565036/multiple-living-forms-per-planet,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/565447/moving-living-forms,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/566285/ai-for-living-forms,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/566789/blockiverse-devlog-july-2023-living-forms,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/574840/making-of-prepared,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/578006/making-of-done-select-objects-for-locations,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/578485/growing-of-plants,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/581206/blockiverse-devlog-august-2023-project-status,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/582163/seamless-growing,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/582634/old-living-forms,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/583130/loot-depends-on-age,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/585482/search-image-find-the-bug,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/585914/location-for-living-forms,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/586331/living-forms-per-biome,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/587679/bug-fixes,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/588456/model-tester-location-filter,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/588916/floating-biome-transitions,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/596589/evolution-started,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/609119/evolution-prototype,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/610099/flood-fill-living-forms,,2026-09-04
https://taubetobi.itch.io/blockiverse/devlog/613409/video-devlog-september-2023-growing-and-evolution,,2026-09-04
https://sykogames.itch.io/dominatorcat/devlog/614182/all-major-bugs-fixed-pause-menu-and-damage-sfx,,2026-09-04
https://heyimvizi.itch.io/vel-playground/devlog/701100/vpg-10,,2026-09-04
https://heyimvizi.itch.io/time/devlog/786420/100,,2026-09-04
https://heyimvizi.itch.io/time/devlog/786688/time-101,,2026-09-04
https://heyimvizi.itch.io/time/devlog/786958/130,,2026-09-04
https://rrvl2629.itch.io/tni-zombies/devlog/787926/first-released,,2026-09-04
