loc,lastmodified,added_date
https://kuraga0.itch.io/jrgame/devlog/502319/update-223,,2026-01-13
https://chromagen.itch.io/pigster-demo/devlog/527644/web-build1,,2026-01-13
https://dither001.itch.io/star-crawl/devlog/540764/week-22-update,,2026-01-13
https://cozysushi.itch.io/soulssaga/devlog/543735/romancing-souls-saga-anniversary-edition,,2026-01-13
https://dither001.itch.io/star-crawl/devlog/544041/week-23-update,,2026-01-13
https://dither001.itch.io/star-crawl/devlog/548101/week-24-update,,2026-01-13
https://dither001.itch.io/star-crawl/devlog/551356/week-25-update,,2026-01-13
https://dither001.itch.io/star-crawl/devlog/554783/week-26-update,,2026-01-13
https://dither001.itch.io/star-crawl/devlog/555727/week-27-update,,2026-01-13
https://dither001.itch.io/star-crawl/devlog/561059/week-28-update,,2026-01-13
https://kit-dantinne.itch.io/fragments-of-ego/devlog/564587/release-announcement,,2026-01-13
https://dither001.itch.io/star-crawl/devlog/565842/week-29-update,,2026-01-13
https://dither001.itch.io/star-crawl/devlog/565891/week-30-update,,2026-01-13
https://dither001.itch.io/star-crawl/devlog/569380/week-31-update,,2026-01-13
https://kit-dantinne.itch.io/fragments-of-ego/devlog/571489/should-bloom-be-a-setting,,2026-01-13
https://kit-dantinne.itch.io/the-listener/devlog/572871/quality-of-life-update,,2026-01-13
https://dither001.itch.io/star-crawl/devlog/573697/week-32-update,,2026-01-13
https://dither001.itch.io/star-crawl/devlog/577743/week-33-update,,2026-01-13
https://dither001.itch.io/star-crawl/devlog/578999/week-34-update,,2026-01-13
https://loren847n.itch.io/infinity-block/devlog/584137/rebalence,,2026-01-13
https://loren847n.itch.io/infinity-block/devlog/584165/pc-game-is-avalible,,2026-01-13
https://dither001.itch.io/star-crawl/devlog/584294/week-35-update,,2026-01-13
https://dither001.itch.io/star-crawl/devlog/587824/week-36-update,,2026-01-13
https://kit-dantinne.itch.io/fragments-of-ego/devlog/588240/release-delay-and-development-history,,2026-01-13
https://dither001.itch.io/star-crawl/devlog/602363/week-37-update,,2026-01-13
https://dither001.itch.io/star-crawl/devlog/609556/week-38-update,,2026-01-13
https://eric-mazza.itch.io/mimicry-mayhem/devlog/610352/mimicry-mayhem-jam-postmortem-ui,,2026-01-13
https://dither001.itch.io/star-crawl/devlog/613569/week-39-update,,2026-01-13
https://dither001.itch.io/star-crawl/devlog/617019/week-40-update,,2026-01-13
https://dither001.itch.io/star-crawl/devlog/621969/week-41-update,,2026-01-13
https://dither001.itch.io/star-crawl/devlog/624782/week-42-update,,2026-01-13
https://dither001.itch.io/star-crawl/devlog/635276/week-45-update,,2026-01-13
https://dither001.itch.io/star-crawl/devlog/638295/week-46-update,,2026-01-13
https://dither001.itch.io/star-crawl/devlog/641189/week-47-update,,2026-01-13
https://dither001.itch.io/star-crawl/devlog/647510/week-49-update,,2026-01-13
https://dither001.itch.io/star-crawl/devlog/662508/devlog-2411,,2026-01-13
https://dither001.itch.io/star-crawl/devlog/662512/devlog-2412,,2026-01-13
https://dither001.itch.io/star-crawl/devlog/683691/devlog-2471,,2026-01-13
https://burlap-studios.itch.io/onrecord/devlog/686228/version-001,,2026-01-13
https://mat-sharp.itch.io/chasse-aux-slimes/devlog/697075/100-de-chasse-aux-slimes,,2026-01-13
https://dither001.itch.io/star-crawl/devlog/699680/devlog-2411,,2026-01-13
https://dither001.itch.io/star-crawl/devlog/701516/devlog-24111,,2026-01-13
https://opal-grave-games.itch.io/dissimilar-demo/devlog/708856/updated-alpha-demo,,2026-01-13
https://2-dev-guys.itch.io/crystal-stars/devlog/716265/beta-test-phase-chapter-0-act-1-release-date,,2026-01-13
https://2-dev-guys.itch.io/crystal-stars/devlog/716373/alpha-build-release,,2026-01-13
