part,filename,count,first_date,last_date
1,all_domains_url_details_part1.csv,1632814,2025-06-15,2025-06-15
2,all_domains_url_details_part2.csv,1773652,2025-06-15,2025-06-16
3,all_domains_url_details_part3.csv,1126792,2025-06-16,2026-01-08
4,all_domains_url_details_part4.csv,1308216,2026-01-08,2026-05-22
5,all_domains_url_details_part5.csv,128573,2026-05-22,2026-06-06
